k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;33472;S;0;155209;155209;2760.65;129.922;197.092;1.08521e+07;9.06149e+06;0;49.652;1.95728e+08
2;37184;S;0;31288;31288;4444.44;179.217;226.673;1.57636e+06;1.5561e+06;0;8.52655;3.36117e+07
3;13663;S;0;26120;26120;4612.12;129.221;195.142;1.85929e+06;1.24833e+06;0;6.84017;2.6964e+07
4;42770;S;0;32175;32175;4612.12;209.671;260.057;1.67446e+06;1.853e+06;0;10.1534;4.00248e+07
5;6629;S;0;18453;18453;3645.23;33.6785;105.974;1.38398e+06;1.00596e+06;0;5.51209;2.17287e+07
6;14186;S;0;27195;27195;2702.06;187.429;244.488;1.64051e+06;1.00185e+06;0;5.48962;2.16401e+07
7;4367;S;0;198478;198478;2760.65;234.421;274.311;8.18953e+06;1.37631e+07;0;75.4142;2.97283e+08
8;8078;S;0;29518;29518;4444.44;54.891;125.099;2.21385e+06;1.65353e+06;0;9.06046;3.57163e+07
9;43297;S;0;33333;33333;2702.06;150.941;207.67;1.92106e+06;658729;0;3.60948;1.42286e+07
10;35734;S;0;15259;15259;3645.23;116.455;177.34;958317;1.02122e+06;0;5.59571;2.20583e+07
11;37126;S;0;20685;20685;3339.3;3.26518;76.8332;1.54937e+06;1.21552e+06;0;6.66039;2.62553e+07
12;196;S;0;464439;464439;2965.43;146.205;218.39;3.48329e+07;2.12102e+07;1;117.22;4.5814e+08
13;1581;S;0;458465;458465;3055.31;73.2394;145.33;3.40695e+07;1.72697e+07;1;95.6288;3.73027e+08
14;29986;S;0;282870;282870;1814.66;135.764;206.804;2.05274e+07;1.70072e+07;1;94.1899;3.67355e+08
15;47688;S;0;228987;228987;2256.8;176.861;238.569;1.46575e+07;1.67999e+07;1;93.0545;3.62879e+08
16;195;S;464439;0;464439;5000;0;146.205;6.96658e+07;2.72525e+07;2;151.329;5.88653e+08
17;51366;S;0;153534;153534;1492.77;191.583;237.343;7.1352e+06;1.33177e+07;1;73.9739;2.87663e+08
18;2331;S;0;156185;156185;1566.97;138.059;209.907;1.14799e+07;1.23816e+07;1;68.8441;2.67442e+08
19;15033;S;0;379330;379330;2590.98;197.971;266.861;2.75561e+07;1.21739e+07;1;67.7066;2.62957e+08
20;18479;S;0;199727;199727;2256.8;163.994;223.497;1.20141e+07;1.19893e+07;1;66.695;2.5897e+08
21;143;S;188273;0;188273;2704.76;0;148.47;2.8241e+07;1.17435e+07;1;65.3481;2.5366e+08
22;296;S;101239;0;101239;2735.93;0;148.75;1.51858e+07;1.1596e+07;1;64.5398;2.50474e+08
23;30574;S;0;209178;209178;2503.84;171.996;240.472;1.47382e+07;1.12957e+07;1;62.8942;2.43987e+08
24;140;S;164058;0;164058;2618.19;0;148.689;2.46087e+07;1.11304e+07;1;61.9887;2.40417e+08
25;52319;S;0;148031;148031;3005.01;165.846;216.785;8.10084e+06;1.11208e+07;1;61.9358;2.40209e+08
26;16176;S;0;161355;161355;3476.79;127.756;193.514;1.12607e+07;1.10247e+07;1;61.4095;2.38134e+08
27;359;S;94988;0;94988;5000;0;147.117;1.42482e+07;1.06654e+07;1;59.4407;2.30373e+08
28;45281;S;0;186227;186227;3476.79;200.01;248.225;9.28553e+06;1.04506e+07;1;58.2634;2.25732e+08
29;22240;S;0;148992;148992;5000;169.736;228.102;9.28297e+06;1.02932e+07;1;57.4013;2.22334e+08
30;312;S;76582;0;76582;3624.47;0;146.004;1.14873e+07;1.01451e+07;1;56.5898;2.19135e+08
31;34571;S;0;181560;181560;402.492;157.619;226.937;1.25578e+07;9.66437e+06;1;53.9554;2.0875e+08
32;3038;S;0;152139;152139;1837.1;187.553;248.448;9.80643e+06;9.29823e+06;1;51.9492;2.00842e+08
33;44695;S;0;127848;127848;3822.4;150.017;207.07;7.71152e+06;8.83241e+06;1;49.3968;1.9078e+08
34;23042;S;0;136469;136469;3564.6;139.763;200.325;8.68161e+06;8.82553e+06;1;49.3591;1.90632e+08
35;206;S;99689;0;99689;5000;0;144.509;1.49534e+07;8.5537e+06;1;47.8696;1.8476e+08
36;2641;S;0;141008;141008;3765.05;140.693;207.865;9.84262e+06;8.49846e+06;1;47.5669;1.83567e+08
37;16200;S;0;157218;157218;3913.13;191.596;250.691;9.6302e+06;8.48781e+06;1;47.5085;1.83337e+08
38;51857;S;0;170236;170236;3432.46;168.986;228.312;1.081e+07;8.19504e+06;1;45.9043;1.77013e+08
39;153;S;68400;0;68400;5000;0;146.006;1.026e+07;8.19248e+06;1;45.8903;1.76958e+08
40;12523;S;0;157697;157697;2254.28;149.144;217.493;1.10509e+07;8.06947e+06;1;45.2163;1.74301e+08
41;41664;S;0;135934;135934;4136.67;188.283;248.413;8.6528e+06;7.90585e+06;1;44.3197;1.70766e+08
42;4536;S;0;151351;151351;905.678;139.053;212.588;1.12585e+07;7.86838e+06;1;44.1144;1.69957e+08
43;4439;S;0;178812;178812;5000;157.859;218.582;1.17927e+07;7.76288e+06;1;43.5363;1.67678e+08
44;22752;S;0;168610;168610;3432.46;176.92;234.476;1.02339e+07;7.54655e+06;1;42.351;1.63005e+08
45;5560;S;0;145042;145042;3305.1;161.133;223.717;9.51472e+06;7.36255e+06;1;41.3427;1.59031e+08
46;2651;S;0;140588;140588;3765.05;119.524;189.498;1.02126e+07;7.29347e+06;1;40.9642;1.57539e+08
47;31557;S;0;156185;156185;5000;209.321;272.922;1.06356e+07;7.19048e+06;1;40.3999;1.55314e+08
48;1934;S;0;137093;137093;4742.04;0;70.3479;1.0282e+07;7.16886e+06;1;40.2814;1.54847e+08
49;7260;S;0;95831;95831;5000;106.667;176.374;7.12347e+06;7.01443e+06;1;39.4352;1.51512e+08
50;378;S;66240;0;66240;5000;0;144.72;9.936e+06;6.93152e+06;1;38.9809;1.49721e+08
51;46545;S;0;101563;101563;1382.93;76.3746;150.221;7.54165e+06;6.56321e+06;1;36.9628;1.41765e+08
52;30322;S;0;271848;271848;2602.21;74.9725;145.387;1.98191e+07;6.52918e+06;1;36.7763;1.4103e+08
53;54637;S;0;116653;116653;4326.74;118.601;178.149;7.30069e+06;6.38012e+06;1;35.9596;1.37811e+08
54;47919;S;0;110700;110700;3630.78;213.285;253.918;4.77418e+06;6.34725e+06;1;35.7795;1.37101e+08
55;18603;S;0;147044;147044;4572.76;266.623;290.861;4.23101e+06;6.28163e+06;1;35.4199;1.35683e+08
56;5625;S;0;103895;103895;2785.5;226.17;273.472;5.05526e+06;6.16263e+06;1;34.7678;1.33113e+08
57;214;S;51678;0;51678;4293.31;0;144.385;7.7517e+06;6.08201e+06;1;34.3261;1.31371e+08
58;307;S;76508;0;76508;5000;0;149.311;1.14762e+07;6.01546e+06;1;33.9614;1.29934e+08
59;15006;S;0;449425;449425;2590.98;167.39;223.038;2.55344e+07;5.98945e+06;1;33.8189;1.29372e+08
60;151;S;78223;0;78223;1301.38;0;148.866;1.17334e+07;5.83012e+06;1;32.9459;1.25931e+08
61;21740;S;0;151452;151452;4309.32;174.904;235.624;9.8288e+06;5.63256e+06;1;31.8633;1.21663e+08
62;30251;S;0;290434;290434;4020.75;101.045;166.793;1.97441e+07;5.58338e+06;1;31.5939;1.20601e+08
63;1478;S;0;205930;205930;2628.64;117.379;183.083;1.42904e+07;5.47623e+06;1;31.0068;1.18287e+08
64;35828;S;0;92138;92138;4724.14;125.212;195.172;6.73597e+06;5.42313e+06;1;30.7158;1.1714e+08
65;51345;S;0;153534;153534;5000;237.343;265.032;4.8837e+06;5.37531e+06;1;30.4538;1.16107e+08
