k;id;type;s_count;i_count;charge_count;length;avg_in_bat;avg_out_bat;total_energy;demand_energy;grid_cost;total_cost;ework
1;33472;S;0;155209;155209;2760.65;100.825;170.613;1.12585e+07;9.06149e+06;0;49.652;1.95728e+08
2;37184;S;0;31288;31288;4444.44;97.4938;163.434;2.15471e+06;1.5561e+06;0;8.52655;3.36117e+07
3;13663;S;0;26120;26120;4612.12;43.425;112.143;1.93236e+06;1.24833e+06;0;6.84017;2.6964e+07
4;42770;S;0;32175;32175;4612.12;122.066;190.121;2.243e+06;1.853e+06;0;10.1534;4.00248e+07
5;6629;S;0;18453;18453;3645.23;33.1685;105.464;1.38398e+06;1.00596e+06;0;5.51209;2.17287e+07
6;14186;S;0;27195;27195;2702.06;107.71;174.277;1.89905e+06;1.00185e+06;0;5.48962;2.16401e+07
7;4367;S;0;198478;198478;2760.65;167.133;228.256;1.24039e+07;1.37631e+07;0;75.4142;2.97283e+08
8;8078;S;0;29518;29518;4444.44;31.8408;102.049;2.21385e+06;1.65353e+06;0;9.06046;3.57163e+07
9;43297;S;0;33333;33333;2702.06;48.8396;120.382;2.41484e+06;658729;0;3.60948;1.42286e+07
10;35734;S;0;15259;15259;3645.23;41.8433;114.432;1.13691e+06;1.02122e+06;0;5.59571;2.20583e+07
11;37126;S;0;20685;20685;3339.3;1.64118;75.3062;1.55138e+06;1.21552e+06;0;6.66039;2.62553e+07
12;196;S;0;464439;464439;2965.43;146.205;218.39;3.48329e+07;2.12102e+07;1;117.22;4.5814e+08
13;1581;S;0;458465;458465;3055.31;67.7718;140.114;3.41848e+07;1.72697e+07;1;95.6288;3.73027e+08
14;29986;S;0;282870;282870;1814.66;74.7572;147.85;2.1108e+07;1.70072e+07;1;94.1899;3.67355e+08
15;47688;S;0;228987;228987;2256.8;128.662;197.798;1.63583e+07;1.67999e+07;1;93.0545;3.62879e+08
16;195;S;464439;0;464439;5000;0;146.205;6.96658e+07;2.72525e+07;2;151.329;5.88653e+08
17;51366;S;0;153534;153534;1492.77;168.25;216.493;7.51651e+06;1.33177e+07;1;73.9739;2.87663e+08
18;2331;S;0;156185;156185;1566.97;68.6874;141.574;1.16421e+07;1.23816e+07;1;68.8441;2.67442e+08
19;15033;S;0;379330;379330;2590.98;171.969;243.069;2.83946e+07;1.21739e+07;1;67.7066;2.62957e+08
20;18479;S;0;199727;199727;2256.8;108.131;177.059;1.38966e+07;1.19893e+07;1;66.695;2.5897e+08
21;143;S;188273;0;188273;2704.76;0;148.47;2.8241e+07;1.17435e+07;1;65.3481;2.5366e+08
22;296;S;101239;0;101239;2735.93;0;148.75;1.51858e+07;1.1596e+07;1;64.5398;2.50474e+08
23;30574;S;0;209178;209178;2503.84;116.485;189.238;1.56331e+07;1.12957e+07;1;62.8942;2.43987e+08
24;140;S;164058;0;164058;2618.19;0;148.689;2.46087e+07;1.11304e+07;1;61.9887;2.40417e+08
25;52319;S;0;148031;148031;3005.01;145.332;202.704;9.05304e+06;1.11208e+07;1;61.9358;2.40209e+08
26;16176;S;0;161355;161355;3476.79;70.5821;141.033;1.20179e+07;1.10247e+07;1;61.4095;2.38134e+08
27;359;S;94988;0;94988;5000;0;147.117;1.42482e+07;1.06654e+07;1;59.4407;2.30373e+08
28;45281;S;0;186227;186227;3476.79;152.317;211.847;1.13926e+07;1.04506e+07;1;58.2634;2.25732e+08
29;22240;S;0;148992;148992;5000;134.077;197.815;1.00835e+07;1.02932e+07;1;57.4013;2.22334e+08
30;312;S;76582;0;76582;3624.47;0;146.004;1.14873e+07;1.01451e+07;1;56.5898;2.19135e+08
31;34571;S;0;181560;181560;402.492;110.878;183.551;1.31668e+07;9.66437e+06;1;53.9554;2.0875e+08
32;3038;S;0;152139;152139;1837.1;103.392;172.243;1.10169e+07;9.29823e+06;1;51.9492;2.00842e+08
33;44695;S;0;127848;127848;3822.4;94.0051;165.74;9.5886e+06;8.83241e+06;1;49.3968;1.9078e+08
34;23042;S;0;136469;136469;3564.6;120.562;184.463;9.13727e+06;8.82553e+06;1;49.3591;1.90632e+08
35;206;S;99689;0;99689;5000;0;144.509;1.49534e+07;8.5537e+06;1;47.8696;1.8476e+08
36;2641;S;0;141008;141008;3765.05;106.751;178.38;1.04711e+07;8.49846e+06;1;47.5669;1.83567e+08
37;16200;S;0;157218;157218;3913.13;138.819;206.714;1.10137e+07;8.48781e+06;1;47.5085;1.83337e+08
38;51857;S;0;170236;170236;3432.46;128.338;188.56;1.09624e+07;8.19504e+06;1;45.9043;1.77013e+08
39;153;S;68400;0;68400;5000;0;146.006;1.026e+07;8.19248e+06;1;45.8903;1.76958e+08
40;12523;S;0;157697;157697;2254.28;116.318;185.128;1.11236e+07;8.06947e+06;1;45.2163;1.74301e+08
41;41664;S;0;135934;135934;4136.67;158.092;224.525;9.50956e+06;7.90585e+06;1;44.3197;1.70766e+08
42;4536;S;0;151351;151351;905.678;5.59467;79.7428;1.13513e+07;7.86838e+06;1;44.1144;1.69957e+08
43;4439;S;0;178812;178812;5000;140.382;203.493;1.22197e+07;7.76288e+06;1;43.5363;1.67678e+08
44;22752;S;0;168610;168610;3432.46;148.599;210.182;1.0913e+07;7.54655e+06;1;42.351;1.63005e+08
45;5560;S;0;145042;145042;3305.1;146.267;210.488;9.75216e+06;7.36255e+06;1;41.3427;1.59031e+08
46;2651;S;0;140588;140588;3765.05;97.9245;168.578;1.03081e+07;7.29347e+06;1;40.9642;1.57539e+08
47;31557;S;0;156185;156185;5000;140.989;206.686;1.09631e+07;7.19048e+06;1;40.3999;1.55314e+08
48;1934;S;0;137093;137093;4742.04;0;70.3479;1.0282e+07;7.16886e+06;1;40.2814;1.54847e+08
49;7260;S;0;95831;95831;5000;95.4536;165.461;7.15234e+06;7.01443e+06;1;39.4352;1.51512e+08
50;378;S;66240;0;66240;5000;0;144.72;9.936e+06;6.93152e+06;1;38.9809;1.49721e+08
51;46545;S;0;101563;101563;1382.93;7.15643;81.3581;7.5777e+06;6.56321e+06;1;36.9628;1.41765e+08
52;30322;S;0;271848;271848;2602.21;13.2463;85.3829;2.02873e+07;6.52918e+06;1;36.7763;1.4103e+08
53;54637;S;0;116653;116653;4326.74;99.4823;159.547;7.36097e+06;6.38012e+06;1;35.9596;1.37811e+08
54;47919;S;0;110700;110700;3630.78;167.686;224.135;6.52502e+06;6.34725e+06;1;35.7795;1.37101e+08
55;18603;S;0;147044;147044;4572.76;237.335;274.804;6.17647e+06;6.28163e+06;1;35.4199;1.35683e+08
56;5625;S;0;103895;103895;2785.5;212.194;263.584;5.4799e+06;6.16263e+06;1;34.7678;1.33113e+08
57;214;S;51678;0;51678;4293.31;0;144.385;7.7517e+06;6.08201e+06;1;34.3261;1.31371e+08
58;307;S;76508;0;76508;5000;0;149.311;1.14762e+07;6.01546e+06;1;33.9614;1.29934e+08
59;15006;S;0;449425;449425;2590.98;80.0966;149.932;3.19105e+07;5.98945e+06;1;33.8189;1.29372e+08
60;151;S;78223;0;78223;1301.38;0;148.866;1.17334e+07;5.83012e+06;1;32.9459;1.25931e+08
61;21740;S;0;151452;151452;4309.32;136.705;200.091;1.02326e+07;5.63256e+06;1;31.8633;1.21663e+08
62;30251;S;0;290434;290434;4020.75;23.5541;93.7722;2.10422e+07;5.58338e+06;1;31.5939;1.20601e+08
63;1478;S;0;205930;205930;2628.64;72.7152;141.954;1.50184e+07;5.47623e+06;1;31.0068;1.18287e+08
64;35828;S;0;92138;92138;4724.14;56.3295;128.182;6.91035e+06;5.42313e+06;1;30.7158;1.1714e+08
65;51345;S;0;153534;153534;5000;216.493;250.596;5.86839e+06;5.37531e+06;1;30.4538;1.16107e+08
66;50283;S;0;73469;73469;2963.16;61.6845;134.556;5.51018e+06;5.25566e+06;1;29.7981;1.13522e+08
67;40938;S;0;83893;83893;2020.64;4.25383;77.5552;6.29198e+06;5.16795e+06;1;29.3175;1.11628e+08
68;34941;S;0;112810;112810;3977.68;173.257;224.626;6.03238e+06;5.15057e+06;1;29.2223;1.11252e+08
69;1058;S;0;222114;222114;3869.19;105.705;175.592;1.62906e+07;5.11383e+06;1;29.021;1.10459e+08
70;5456;S;0;86392;86392;4616.43;130.902;195.735;5.91181e+06;5.04492e+06;1;28.6434;1.0897e+08
71;33034;S;0;80280;80280;4292.57;58.5264;129.079;6.0132e+06;4.94977e+06;1;28.122;1.06915e+08
72;24129;S;0;96950;96950;4259.91;113.222;176.093;6.50908e+06;4.92862e+06;1;28.0061;1.06458e+08
73;83;S;56923;0;56923;3314.03;0;147.377;8.53845e+06;4.90156e+06;1;27.8579;1.05874e+08
74;15354;S;0;87008;87008;3810.31;67.3019;139.056;6.5256e+06;4.84289e+06;1;27.5364;1.04607e+08
75;42933;S;0;98273;98273;1277.66;84.4885;155.221;7.00779e+06;4.75669e+06;1;27.064;1.02744e+08
76;18193;S;0;125017;125017;4707.67;115.073;181.298;8.88064e+06;4.66877e+06;1;26.5823;1.00845e+08
77;44750;S;0;129525;129525;4547.84;43.6297;115.766;9.71379e+06;4.62021e+06;1;26.3162;9.97965e+07
78;41882;S;0;129850;129850;3347.89;136.403;205.764;9.38205e+06;4.57916e+06;1;26.0913;9.89099e+07
79;48552;S;0;106170;106170;4677.87;133.905;204.625;7.8083e+06;4.51217e+06;1;25.7242;9.74629e+07
80;33608;S;0;205816;205816;2419.01;118.179;188.622;1.48695e+07;4.46916e+06;1;25.4886;9.65339e+07
81;55628;S;0;87683;87683;4532.6;112.278;172.965;5.69078e+06;4.45797e+06;1;25.4272;9.62921e+07
82;31202;S;0;178262;178262;3920.46;120.317;177.303;1.06529e+07;4.39209e+06;1;25.0662;9.48691e+07
83;18803;S;0;99093;99093;3630.78;80.1877;151.239;7.2922e+06;4.35624e+06;1;24.8698;9.40949e+07
84;52140;S;0;128592;128592;4214.25;98.7975;160.214;8.50229e+06;3.99642e+06;1;22.8982;8.63227e+07
85;19373;S;0;85755;85755;3396.36;77.6875;149.649;6.1606e+06;3.93412e+06;1;22.5568;8.4977e+07
86;44324;S;0;139079;139079;2596.25;5.7098;78.1147;1.04309e+07;3.92293e+06;1;22.4955;8.47354e+07
87;15636;S;0;143738;143738;4547.84;101.905;167.932;1.00319e+07;3.89625e+06;1;22.3493;8.41591e+07
88;22582;S;0;143588;143588;4986.71;133.271;195.177;9.70159e+06;3.8687e+06;1;22.1984;8.35639e+07
89;3626;S;0;88133;88133;3161.02;45.0974;117.068;6.5815e+06;3.85974e+06;1;22.1493;8.33704e+07
90;43203;S;0;82567;82567;3029.29;106.807;175.53;5.97221e+06;3.82617e+06;1;21.9653;8.26453e+07
91;35901;S;0;74051;74051;1658.38;66.0685;137.579;5.36939e+06;3.80722e+06;1;21.8615;8.2236e+07
92;34888;S;0;76124;76124;5000;59.729;129.849;5.70417e+06;3.80218e+06;1;21.8339;8.21271e+07
93;47852;S;0;65380;65380;2353.45;116.208;186.097;4.70494e+06;3.7379e+06;1;21.4817;8.07387e+07
94;6882;S;0;93503;93503;4190.87;74.3238;145.241;6.98623e+06;3.7366e+06;1;21.4745;8.07107e+07
95;12816;S;0;150176;150176;5000;152.847;213.014;9.43416e+06;3.7276e+06;1;21.4252;8.05163e+07
96;9342;S;0;75760;75760;2748.4;0;72.4249;5.682e+06;3.70516e+06;1;21.3022;8.00314e+07
97;3017;S;0;152716;152716;5000;119.425;190.39;1.13162e+07;3.70247e+06;1;21.2875;7.99734e+07
98;47120;S;0;69515;69515;4349.29;67.5392;136.307;5.03977e+06;3.66682e+06;1;21.0922;7.92034e+07
